id,price,sale_price,title,link,image_link,brand,description,condition,product_type,availability
14792613,3300.0 RUB,951.0 RUB,Гель для стирки белья универсальный SYNERGETIC 5 л 165 стирок,https://www.wildberries.ru/catalog/14792613/detail.aspx/?targetUrl=EX,https://basket-02.wbbasket.ru/vol147/part14792/14792613/images/big/1.webp,SYNERGETIC,"SYNERGETIC для стирки — натуральный, биоразлагаемый и гипоаллергенный. Подходит даже людям с чувствительной кожей. Полностью выполаскивается из волокон ткани на 100%. Помогает вещам сохранить первоначальный вид. Канистры хватит надолго",new,Стирка,in stock
14792614,3300.0 RUB,951.0 RUB,"Гель для стирки детского белья SYNERGETIC, 5 л",https://www.wildberries.ru/catalog/14792614/detail.aspx/?targetUrl=EX,https://basket-02.wbbasket.ru/vol147/part14792/14792614/images/big/1.webp,SYNERGETIC,"SYNERGETIC для стирки — натуральный, биоразлагаемый и гипоаллергенный. Подходит даже людям с чувствительной кожей. Полностью выполаскивается из волокон ткани на 100%. Помогает вещам сохранить первоначальный вид. Канистры хватит надолго",new,Стирка,in stock
14793789,2015.0 RUB,500.0 RUB,"Кондиционер для белья SYNERGETIC «Аромамагия» 5л, 165 стирок, гипоаллергенный",https://www.wildberries.ru/catalog/14793789/detail.aspx/?targetUrl=EX,https://basket-02.wbbasket.ru/vol147/part14793/14793789/images/big/1.webp,SYNERGETIC,"Гипоаллергенный кондиционер бережно ухаживает за всеми типами ткани, придает особую мягкость белью и антистатический эффект. Комплекс растительных К-тензидов обеспечивает легкую глажку белья. Натуральные эфирные масла придают нежный аромат",new,Кондиционеры,in stock
14793790,2015.0 RUB,514.0 RUB,"Кондиционер для белья детский SYNERGETIC 5л, 165 стирок, гипоаллергенный",https://www.wildberries.ru/catalog/14793790/detail.aspx/?targetUrl=EX,https://basket-02.wbbasket.ru/vol147/part14793/14793790/images/big/1.webp,SYNERGETIC,"Гипоаллергенный кондиционер бережно ухаживает за всеми типами ткани, придает особую мягкость белью и антистатический эффект. Комплекс растительных К-тензидов обеспечивает легкую глажку белья. Натуральные эфирные масла придают нежный аромат",new,Кондиционеры,in stock
14793796,2015.0 RUB,596.0 RUB,"Кондиционер для белья SYNERGETIC «Миндальное молочко» 5л, 165 стирок, гипоаллергенный",https://www.wildberries.ru/catalog/14793796/detail.aspx/?targetUrl=EX,https://basket-02.wbbasket.ru/vol147/part14793/14793796/images/big/1.webp,SYNERGETIC,"Гипоаллергенный кондиционер бережно ухаживает за всеми типами ткани, придает особую мягкость белью и антистатический эффект. Комплекс растительных К-тензидов обеспечивает легкую глажку белья. Натуральные эфирные масла придают нежный аромат",new,Кондиционеры,in stock
32193384,4099.0 RUB,1393.0 RUB,Гель для стирки SYNERGETIC 2в1 с пятновыводителем 5л + Кондиционер «Райский сад» 5л,https://www.wildberries.ru/catalog/32193384/detail.aspx/?targetUrl=EX,https://basket-03.wbbasket.ru/vol321/part32193/32193384/images/big/1.webp,SYNERGETIC,"SYNERGETIC для стирки — натуральный, биоразлагаемый и гипоаллергенный. Подходит даже людям с чувствительной кожей. Полностью выполаскивается из волокон ткани на 100%. Помогает вещам сохранить первоначальный вид. Канистры хватит надолго",new,Стирка,in stock
32193391,4099.0 RUB,1393.0 RUB,Гель для стирки SYNERGETIC 2в1 с пятновыводителем 5л + Кондиционер для белья 5л «Аромамагия»,https://www.wildberries.ru/catalog/32193391/detail.aspx/?targetUrl=EX,https://basket-03.wbbasket.ru/vol321/part32193/32193391/images/big/1.webp,SYNERGETIC,"SYNERGETIC для стирки — натуральный, биоразлагаемый и гипоаллергенный. Подходит даже людям с чувствительной кожей. Полностью выполаскивается из волокон ткани на 100%. Помогает вещам сохранить первоначальный вид. Канистры хватит надолго",new,Стирка,in stock
122918906,2015.0 RUB,514.0 RUB,"Кондиционер для белья SYNERGETIC «Магическая орхидея» 5л, 165 стирок, гипоаллергенный",https://www.wildberries.ru/catalog/122918906/detail.aspx/?targetUrl=EX,https://basket-09.wbbasket.ru/vol1229/part122918/122918906/images/big/1.webp,SYNERGETIC,"Гипоаллергенный кондиционер бережно ухаживает за всеми типами ткани, придает особую мягкость белью и антистатический эффект. Комплекс растительных К-тензидов обеспечивает легкую глажку белья. Натуральные эфирные масла придают нежный аромат",new,Кондиционеры,in stock
152338483,4099.0 RUB,1393.0 RUB,Гель для стирки SYNERGETIC 2в1 с пятновыводителем 5л + Кондиционер «Реликтовый лес» 5л,https://www.wildberries.ru/catalog/152338483/detail.aspx/?targetUrl=EX,https://basket-10.wbbasket.ru/vol1523/part152338/152338483/images/big/1.webp,SYNERGETIC,"SYNERGETIC для стирки — натуральный, биоразлагаемый и гипоаллергенный. Подходит даже людям с чувствительной кожей. Полностью выполаскивается из волокон ткани на 100%. Помогает вещам сохранить первоначальный вид. Канистры хватит надолго",new,Стирка,in stock
162245812,5999.0 RUB,1575.0 RUB,"Гель для стирки белья универсальный SYNERGETIC 5л+5л, 330 стирок",https://www.wildberries.ru/catalog/162245812/detail.aspx/?targetUrl=EX,https://basket-11.wbbasket.ru/vol1622/part162245/162245812/images/big/1.webp,SYNERGETIC,"SYNERGETIC для стирки — натуральный, биоразлагаемый и гипоаллергенный. Подходит даже людям с чувствительной кожей. Полностью выполаскивается из волокон ткани на 100%. Помогает вещам сохранить первоначальный вид. Канистры хватит надолго",new,Стирка,in stock
